,content,label
2002,"한국전력공사 안산지사가 지난 20일 구축 완료한 스마트미터링 센터에서 관계자들이 교육현장을 둘러보고 있다. 사진=한국전력공사 안산지사
한국전력공사 안산지사가 계기분야 업무역량 향상과 관련 산업재해 예방을 위한 스마트미터링 센터를 구축 완료했다고 31일 밝혔다.   이날 한전 안산지사에 따르면 지난 20일 상시 내선계기 현장실습 환경 조성을 마친 스마트미터링 센터에는 고압 수전설비 실물 모델이 설치됐다.   이에 ASS 투개방 실습과 고·저압 전력량계 결선장치를 활용한 오차측정, 계량결선 이해, TTB 무정전교체 실습 등 다양한 교육이 가능하다.   한전 안산지사는 교육을 통해 전력량계와 고압 수전설비에 대해 이해한 신입·전입직원은 물론 전문회사 작업자와 검침원의 산업재해를 예방할 수 있을 것으로 전망하고 있다.   또한 소통을 통해 서로의 고충을 이해하는 계기가 될 것으로 기대한다는 게 관계자의 설명이다.   이영섭 안산지사장은 총평을 통해 ""직원 및 협력사 대상 실습교육을 지속적으로 시행하고 인근 사업소와 같이 활용해 당사 직원뿐만 아니라 협력사 소속 작업자 모두의 안전을 최우선으로 하는 현장 밀착형 거점 교육센터로 활용하기를 바란다""고 당부했다.   신연경기자",1
515,"안동시는 제주항공과 협력해 하회탈과 누각이 래핑된 항공기를 운행해 관광거점도시 안동을 홍보하고 있다.
안동시가 유네스코 세계유산을 품고 글로벌 관광도시로 도약한다.    시는 서울 청량리에서 KTX복선전철을 타고 안동까지 2시간 내 도착하는 1일 관광 접근성을 바탕으로 가장 한국적인 도시 안동의 매력을 알려 나갈 방침이다. 특히, 유네스코 3대 카테고리를 석권한 전통유산을 자양분으로 사계절 축제 시스템을 도입하고 지역 관광사업체의 뿌리를 다지며 관광거점도시 사업을 신성장동력으로 삼아 새롭게 비상해 나갈 계획이다.    시는 올해 지역 관광기업의 창업에서 홍보까지 전 단계에 걸쳐 관광경쟁력을 강화해 나간다. 지역 DMO 조직과 연계한 아이디어 해커톤 운영, 관광두레와 연계한 밀착 멘토링, 관광상품 패키징 디자인 개발로 기념품 생산 지원, 전문 고택매니저 영입 등으로 명품 관광 서비스를 제공할 계획이다.    다변화하는 관광트렌드를 반영해 마케팅 시스템도 업그레이드 된다. 스마일트립200 사업으로 관광여행상품을 고도화하는 한편, 온라인 유통시스템 OTA(Online Travel Agency)를 새롭게 구축할 계획이다.    다양한 채널을 활용한 외국인 관광객 유치 마케팅도 눈길을 끈다. 제주항공과 협력해 안동의 탈과 누각(병산서원 만대루)이 래핑(wrapping)된 항공기(보잉 737)를 통해 관광거점도시 안동을 홍보한다.    또 총 1천300만 구독자를 지닌 13명의 외국 SNS 인플루언서를 활용해 안동 여행 영상을 지속 제작·업로드한다.    시는 올해 관광거점도시 사업을 중심으로 지역 특화 관광인프라를 구축한다. 안동호 내에 수상공연장을 조성하고 월영교 일대를 복합문화공간으로 확충한다. 또 댐 일원에 마리나 리조트와 종합 수상레포츠 단지도 조성한다.    안동문화관광단지 내 유교랜드는 첨단기술 기반의 메타버스를 연동한 융복합 실감형 콘텐츠로 리뉴얼된다. 가족 캠핑족 수요에 대응해 ‘엄마까투리 야영장 및 상상놀이터’도 조성한다.    또 임청각에서 월영교까지의 철도 유휴부지를 활용해 2025년까지 151억 원을 투입해 테마가 있는 거리로 조성하고, 성락철교는 복합문화공간으로 조성될 예정이다.    이와 함께, 지역 내 약 35km의 중앙선 전 폐선 구간이 복합휴양레포츠가 가능한 핫플레이스로 재탄생할 전망이다.    안동 관광 미래를 선도할 신성장동력인 3대문화권 사업장도 잠재력을 현실화하고 있다. 시는 최근 코엑스와 마이스 산업 활성화 업무협약을 맺었고, 한국문화테마파크가 한국관광공사 선정 2023 코리아 유니크 베뉴에 선정되며 획기적인 마이스 산업 발전의 기대감을 가질 수 있게 됐다.    권기창 안동시장은 “유네스코 세계유산의 도시 안동만의 역사·문화적 특성과 풍부한 수자원을 전략적 관광자원으로 개발해 국내외 1천만 관광객이 즐겨 찾는 글로벌 관광도시로 조성하겠다”며 “재미와 감동이 있는 역동적인 관광 콘텐츠를 많이 만들어 사계절 내내 언제나 볼거리, 즐길거리가 풍성한 생동감 넘치는 관광도시로 이끌어 가겠다”고 밝혔다.        김진욱 기자 wook9090@idaegu.com",1
1451,"한덕수 국무총리가 27일 정부서울청사에서 열린 국정현안관계장관회의에서 발언하고 있다. 연합뉴스
국무조정실이 “지난 1년 정부가 1027건의 규제를 개선했다”며 “약 70조 원의 경제효과를 거둘 것으로 기대된다”고 31일 밝혔다.      국조실은 이날 보도자료를 내고 8월 1일 출범 1주년을 맞는 규제혁신추진단의 활동 성과를 소개했다. 한덕수 총리가 단장을 맡은 추진단은 부처 단독으로 해결하기 어려운 과제를 발굴하고 개선책을 마련해왔다. 특히 한 총리는 조직 구상, 자문단 섭외 등을 직접 챙기며 규제 혁파에 공을 들여왔다.      추진단은 지난 1년 동안 18차례의 전체회의, 561회 간담회 및 현장 방문 등을 진행했다. 국조실은 주요 규제개선 사례로 △2시간 걸리던 항만물류 입력시간 10분으로 단축 △알뜰폰 규제 개선 △직업훈련 유연화 등을 꼽았다.      한 총리의 제외한 추진단 대부분은 전직 고위 관료들로 구성됐다. 국조실은 “1∼2급 공무원 18명, 3∼4급 공무원 46명 등의 전직 공무원들로 구성됐으며 총 공직 경험이 약 2300년”이라며 “대한민국의 거의 모든 규제를 만들어봐 불합리한 규제를 어떻게 손봐야할지 누구보다 잘 아는 인사들”이라고 밝혔다. 33명의 자문단에는 진대제 삼성전자 디지털미디어총괄 사장 등 기업 최고경영자(CEO)들도 참여했다.      추진단은 규제 개선 속도를 높이기 위해 ‘과제선정 오디션’을 통해 선정된 전문위원이 프로젝트 매니저(PM)로 팀을 구성해 직접 규제개선 과제를 수행하고, 한 총리에게 소관 과제를 직접 보고하는 방식으로 업무를 수행했다. 국조실 관계자는 “전직공무원 출신 PM들은 현직에 있지 않아 총리님께도 직언을 서슴지 않았다”고 말했다.      추진단은 출범 2년차를 맞아 덩어리 규제를 양산하는 법령·조례, 이해관계자들의 애로 사항을 적극 개선하며 성과를 창출할 계획이다. 국조실은 △지방대 경쟁력 강화 △각종 영향평가 합리화 △초고령 사회·지방소멸 대응 △신의료기술평가 제도 개선 등 추진할 방침이라고 전했다.",0
544,"우정사업본부 제공
11월까지 한시 판매  가입기간 12개월     [파이낸셜뉴스] 과학기술정보통신부 우정사업본부는 8월 1일부터 신한카드와 제휴해 최고 연 10.15%의 우대금리 혜택을 제공하는 '우체국 신한 우정적금'을 판매한다고 7월 31일 밝혔다.    이번이 세번째 출시인 우체국 신한 우정적금은 우체국 적용금리와 함께 신한카드의 특별보상을 제공한다. 가입기간은 12개월로, 월 최대 30만원까지 납입할 수 있다. 올해 11월 30일까지 가입이 가능하다.    기본금리은 연 2.7%, 자동이체 등 우대조건을 충족하면 최대 연 0.45%p가 추가된다. 여기에 신한카드 제휴이벤트 적용조건을 충족하면 적금 만기 시 연 7%의 특별보상이 제공돼 연 최고 10.15% 혜택을 받을 수 있다는 설명이다.    신한카드 특별보상 적용조건은 최근 6개월 간 신한카드 이용 실적이 없는 고객이 신한카드 온라인 채널을 통해 제휴이벤트 카드를 발급받은 뒤, 적금 가입월을 기준으로 1개월 이내 15만원 이상, 적금 가입월 다다음 달에 15만원 이상을 각각 사용하면 혜택이 제공된다.    상품가입을 희망하는 이용자는 신한카드 홈페이지에서 카드 발급용 개인 이벤트 코드를 발급받아 우체국 창구 또는 인터넷뱅킹·스마트뱅킹에서 이벤트 코드를 입력하면 된다.    박인환 우정사업본부장 직무대리는 ""신한카드와 제휴를 통해 고객에게 더 좋은 혜택을 제공할 수 있도록 상품을 출시했다""며 ""앞으로도 고금리 예금상품을 지속적으로 출시해 가계생활안정에 실질적인 도움이 될 수 있도록 하겠다""고 전했다.",1
1406,경기도 안산시는 청년이 공감하는 정책 발굴을 위해 오는 9월 9일 '안산시 청년정책토론회'를 개최한다고 밝혔습니다.   안산상공회의소에서 열리는 토론회는 안산에 거주하고 활동하는 15~39살 청년을 선정해 원탁토론 형식으로 진행됩니다.   안산시는 청년정책토론회 참가자를 다음 달 15일까지 경기내일스퀘어안산 상상대로 웹사이트(https://asyouthspace.kr) 또는 QR 코드를 통해 모집합니다.<김대영(16060419@obs.co.kr)>,1
213,"사진=뉴스1
검찰이 박영수 전 특별검사에 대해 구속영장을 재청구했다.    서울중앙지검 반부패수사1부(엄희준 부장검사)는 31일 박 전 특검에 대해 특정경제범죄 가중처벌법상 수재, 청탁금지법 위반 혐의로 구속영장을 청구했다.    검찰에 따르면 박 전 특검은 우리은행의 사외이사 겸 이사회 의장, 감사위원으로 재직하면서 대장동 개발사업과 관련해 남욱 씨 등 민간업자들의 컨소시엄 관련 청탁을 들어주는 대가로 거액의 돈을 약속받고 8억원을 수수한 혐의를 받는다.    검찰은 박 전 특검이 최측근인 양재식 전 특검보와 공모, 2014년 11∼12월 우리은행의 컨소시엄 출자 및 여신의향서 발급과 관련해 남씨 등으로부터 200억원, 시가 불상의 땅과 단독주택건물을 약속받았다고 본다. 2015년 대한변협회장 선거 자금 명목으로 현금 3억원을 실제 받은 것으로 파악했다.    박 전 특검은 우리은행의 역할이 축소된 뒤 2015년 3∼4월 김만배 씨 등에게서 여신의향서 발급 청탁의 대가로 5억원을 받고 향후 50억원을 약정받은 혐의도 받는다. 검찰은 박 전 특검이 특검 신분으로 딸과 공모해 2019년 9월∼2021년 2월 화천대유 측으로부터 총 11억원을 수수한 것으로 보고 청탁금지법 위반 혐의도 적용했다.    이송렬 한경닷컴 기자 yisr0203@hankyung.com",0
2020,"보건소·지소 유선 사전 예약
나주시가 면역력 저하로 대상포진 발병 우려가 있는 65세 이상 시민을 대상으로 대상포진 백신 주사를 일부 지원한다. 나주시 제공
나주시가 사전 예약제를 통해 65세 이상 시민의 대상포진 예방접종을 재개한다.  31일 나주시에 따르면 면역력 저하로 대상포진 발병 우려가 있는 65세 이상 시민(1년 이상 거주)을 대상으로 올해부터 대상포진 백신 주사를 3만8000원에 접종할 수 있도록 지원하고 있다.  대상포진 접종은 국가 필수 예방접종 항목이 아니기 때문에 무료 접종 대상인 기초생활수급자, 차상위계층이 아닌 일반시민의 경우 평균 13~15만원의 접종 비용을 100% 자부담해야 한다.  대상포진은 백신을 통한 예방이 최우선인 질병이지만 비싼 가격으로 접종을 망설이거나 아예 하지 않아 노후 건강관리에 위협이 돼왔다.  백신 물량 확보를 통해 31일부터 보건소·보건지소에서 사전 예약에 따른 2차 접종이 순차 이뤄질 계획이다.  접종 사전 예약은 보건소 또는 보건지소에 유선 전화로 하면 된다. 예약이 완료된 경우 접종 가능 날짜와 시간을 문자로 받아볼 수 있다.  접종을 위한 보건소 방문 시에는 신분증과 주민등록초본을 지참해야한다.  강동렬 보건소장은 “당일 현장 접수로 인한 혼잡상황을 예방하고 안전한 예방접종이 이뤄질 수 있도록 사전 예약을 받고 있다”며 “건한 노후를 위한 대상포진 예방접종을 이번 기회에 꼭 하시길 바란다”고 말했다.",1
1339,"얼굴도 모르는 남자친구의 부탁으로 전화금융사기(보이스피싱) 조직의 현금수거책 역할에 가담한 20대 여대생에게 무죄가 선고됐다. /사진=게티이미지뱅크
[머니투데이 홍효진 기자] 얼굴도 모르는 남자친구의 부탁으로 전화금융사기(보이스피싱) 조직의 현금 수거책 역할에 가담한 20대 여대생에게 무죄가 선고됐다.  31일 뉴스1에 따르면 의정부지법 남양주지원 형사1단독(부장판사 최치봉)은 사기 방조 혐의로 기소된 A씨(여·25)에게 무죄를 선고했다고 이날 밝혔다.  대학교 2학년인 A씨는 지난해 7월 소개팅 앱(애플리케이션)에서 만난 남자친구 B씨로부터 회사 일을 도와달라는 부탁을 받고 보이스피싱 범죄에 가담한 혐의로 기소됐다.  A씨는 B씨가 인상착의, 접선 장소를 알려주면 해당 장소에서 특정 인물을 만나 돈을 받은 뒤 불상의 사람에게 다시 수거한 돈을 전달하는 역할을 담당했다. 그러나 A씨가 일한 곳은 불특정 다수를 상대로 금융기관을 사칭해 돈을 뜯어내는 보이스피싱 조직이었다.  A씨는 피해자 1명으로부터 약 1300만원을 편취해 조직에 돈을 넘긴 혐의로 경찰 출석 통지를 받은 뒤에야 자신이 범죄에 가담했다는 사실을 알게 됐다.  경찰 조사 결과 A씨는 B씨를 한 번도 본 적 없을 뿐더러, 그가 어디서 일하는지에 대한 구체적인 정보도 모르는 상태였다.  A씨는 ""B씨의 경력이나 재력 등을 모두 신뢰했다""며 ""고객들로부터 투자금을 수령하는 업무인 줄 알았지, 범행의 일부라는 것은 알지 못했다""고 주장했다.  재판부는 ""피고인이 범행을 했다는 객관적 사실은 인정되지만 경력, 학력, 대화 내용 등을 비춰봤을 때 고의성을 가지고 범행에 가담했다고 보기 어렵다""고 판시했다.",0
1550,"오는 9월까지 구·군 및 대구지방환경청 합동 단속 진행
대구시는 오는 9월 중순까지 상수원 보호구역 내 불법행위에 대한 특별단속을 실시한다.    여름방학 및 휴가철인 7~9월에는 계곡, 하천 등 상수원 보호구역 내에서 야영, 취사행위, 낚시, 다슬기 채취 등의 각종 불법행위가 다수 발생한다.    특히 무허가 건축물, 불법 용도 변경, 무허가 영업(식당), 불법 형질변경 등의 불법행위가 지속적으로 발생함에 따라 시는 관계 기관과 함께 합동단속을 실시한다.    이번 단속에는 구·군 환경·위생·건축 부서 및 대구지방환경청이 참여한다.    군위군이 새롭게 대구시로 편입돼 상수원보호구역이 늘어나는 만큼 시는 드론을 적극적으로 활용한 입체적 감시로 사각지대를 줄이고 점검의 효율성을 높일 계획이다. 주말과 공휴일에도 수시 순찰을 강화해 불법행위를 근절하기 위한 노력을 기울일 예정이다.    상수원 보호구역 내에서 불법행위로 적발될 경우 수도법 제83조 규정에 따라 2년 이하의 징역 또는 2천만 원 이하의 벌금에 처해질 수 있다. 무허가 음식점 및 건축행위 등은 식품위생법, 건축법 등 개별법도 함께 적용받아 강력한 처분을 받는다.    대구시 장재옥 맑은물하이웨이추진단장은 “이번 특별단속은 수돗물의 맑고 안전한 생산을 위한 것으로 상수원보호구역 내에서 낚시, 야영 등 불법행위 발견 시 관계기관에 적극 신고해 달라”며 “평일뿐만 아니라 주말, 공휴일에도 지속적인 감시·단속을 실시해 불법행위에 대해서 엄정 조치할 것이다”고 말했다.        신헌호 기자 shh24@idaegu.com",1
1121,"대구시의회 허시영 시의원
은 7월31일 지역 도시경관을 훼손하고 시민 불편을 유발하는 ‘정당 현수막’ 문제와 관련, 대구시의 조속한 자체 정비 근거 마련을 요구했다.        허 시의원은 제302회 임시회 제3차 본회의에서 5분 자유발언을 통해 “시내 주요 교차로, 도시철도역 주변이나 횡단보도 등 보행량이 많은 주요 지점마다 각 정당이 내건 현수막들이 넘쳐나고 있다”고 지적했다.    이어 “이는 지난해 12월 옥외광고물법의 개정으로 정당의 현수막에 대해 신고와 금지·제한 등 적용이 제외됐기 때문”이라고 설명했다.    허 시의원은 “정당이 경쟁적으로 게시하고 있는 엄청난 양의 현수막들이 시민 생활에 피해를 입히고 있다”면서 “정당의 현수막에도 금지와 제한의 규정이 적용될 수 있도록 옥외광고물법을 다시 개정해야 한다. 이미 이러한 취지의 여러 개정법안이 국회에 제출돼 있다”고 밝혔다.    또 타 지자체의 사례를 예시로 들며 “인천시는 행정안전부와 대립하면서까지 조례에 근거해 철거 등 조치에 나섰고 광주시도 유사한 방식의 근거 마련을 추진하고 있다”고 주장했다.    그러면서 “대구시와 구·군의 담당 공무원들이 정당하게 정비업무를 수행할 수 있는 근거를 하루빨리 마련해야 한다”고 목소리를 높였다.            김종윤 기자 kjyun@idaegu.com",0
